
num,lat,lon,cases,deaths,recovered,DayStart,DayEnd,placetype,adm0,adm1,adm3,adm4,indiv
1,,,1,,,20200224,20200307,adm0,Afghanistan,,,,
2,,,4,,,20200308,20200309,adm0,Afghanistan,,,,
3,,,5,,,20200310,20200310,adm0,Afghanistan,,,,
4,,,7,,,20200311,20200313,adm0,Afghanistan,,,,
5,,,11,,,20200314,20200314,adm0,Afghanistan,,,,
6,,,16,,,20200315,20200315,adm0,Afghanistan,,,,
7,,,21,,,20200316,20200316,adm0,Afghanistan,,,,
8,,,22,,,20200317,20200319,adm0,Afghanistan,,,,
9,,,24,,,20200320,20200321,adm0,Afghanistan,,,,
10,,,40,,,20200322,20200323,adm0,Afghanistan,,,,
11,,,74,,,20200324,20200324,adm0,Afghanistan,,,,
12,,,84,,,20200325,20200325,adm0,Afghanistan,,,,
13,,,94,,,20200326,20200326,adm0,Afghanistan,,,,
14,,,110,,,20200327,20200328,adm0,Afghanistan,,,,
15,,,120,,,20200329,20200329,adm0,Afghanistan,,,,
16,,,170,,,20200330,20200330,adm0,Afghanistan,,,,
17,,,174,,,20200331,20200331,adm0,Afghanistan,,,,
18,,,237,,,20200401,20200401,adm0,Afghanistan,,,,
19,,,273,,,20200402,20200402,adm0,Afghanistan,,,,
20,,,281,,,20200403,20200403,adm0,Afghanistan,,,,
21,,,299,,,20200404,20200404,adm0,Afghanistan,,,,
22,,,349,,,20200405,20200405,adm0,Afghanistan,,,,
23,,,367,,,20200406,20200406,adm0,Afghanistan,,,,
24,,,423,,,20200407,20200407,adm0,Afghanistan,,,,
25,,,444,,,20200408,20200408,adm0,Afghanistan,,,,
26,,,484,,,20200409,20200409,adm0,Afghanistan,,,,
27,,,521,,,20200410,20200410,adm0,Afghanistan,,,,
28,,,555,,,20200411,20200411,adm0,Afghanistan,,,,
29,,,607,,,20200412,20200412,adm0,Afghanistan,,,,
30,,,2,,,20200309,20200309,adm0,Albania,,,,
31,,,10,,,20200310,20200310,adm0,Albania,,,,
32,,,12,,,20200311,20200311,adm0,Albania,,,,
33,,,23,,,20200312,20200312,adm0,Albania,,,,
34,,,33,,,20200313,20200313,adm0,Albania,,,,
35,,,38,,,20200314,20200314,adm0,Albania,,,,
36,,,42,,,20200315,20200315,adm0,Albania,,,,
37,,,51,,,20200316,20200316,adm0,Albania,,,,
38,,,55,,,20200317,20200317,adm0,Albania,,,,
39,,,59,,,20200318,20200318,adm0,Albania,,,,
40,,,64,,,20200319,20200319,adm0,Albania,,,,
41,,,70,,,20200320,20200320,adm0,Albania,,,,
42,,,76,,,20200321,20200321,adm0,Albania,,,,
43,,,89,,,20200322,20200322,adm0,Albania,,,,
44,,,104,,,20200323,20200323,adm0,Albania,,,,
45,,,123,,,20200324,20200324,adm0,Albania,,,,
46,,,146,,,20200325,20200325,adm0,Albania,,,,
47,,,174,,,20200326,20200326,adm0,Albania,,,,
48,,,186,,,20200327,20200327,adm0,Albania,,,,
49,,,197,,,20200328,20200328,adm0,Albania,,,,
50,,,212,,,20200329,20200329,adm0,Albania,,,,
51,,,223,,,20200330,20200330,adm0,Albania,,,,
52,,,243,,,20200331,20200331,adm0,Albania,,,,
53,,,259,,,20200401,20200401,adm0,Albania,,,,
54,,,277,,,20200402,20200402,adm0,Albania,,,,
55,,,304,,,20200403,20200403,adm0,Albania,,,,
56,,,333,,,20200404,20200404,adm0,Albania,,,,
57,,,361,,,20200405,20200405,adm0,Albania,,,,
58,,,377,,,20200406,20200406,adm0,Albania,,,,
59,,,383,,,20200407,20200407,adm0,Albania,,,,
